modelo,especificacion,k_parametros,r2,r2_ajustado,aic,bic,rmse,mae,f_estadistico,breusch_pagan_p,jarque_bera_p,durbin_watson
M1 · Simple,costo ~ consumo,2,0.9969,0.9968,1168.9,1174.5,31.03,20.84,37402.6,1.61e-06,3.17e-47,2.275
M2 · Múltiple aditivo,costo ~ consumo + sector,4,0.9979,0.9978,1126.3,1137.5,25.55,15.9,18093.1,7.37e-04,1.63e-254,2.376
M3 · Múltiple con interacción,costo ~ consumo × sector,6,0.998,0.9979,1123.2,1139.9,24.8,14.96,11322.1,1.23e-03,1.17e-248,2.311
M4 · Log-log,log(costo) ~ log(consumo) + sector,4,0.9975,0.9975,1015.7,1026.8,26.54,16.04,15691.4,3.45e-01,8.85e-01,2.112
